alpha_2,region,,flag,行政区划:,origin name,Let's Go,,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01
CN,辽宁省,其他,https://img.ixintu.com/download/jpg/202001/c8ea4aaf8cc9e138a45be4bc9d0d87df.jpg!con,东北地区,CN-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,7,7,7,7,7,8,9,9,9,10,10,10,10,10,10,10,11,14,15,15,16,17,17,18,19,19,19,20,20,20,20,21,21,21,21,22,23,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,91,141,199,244,263,263,263,317,346,346,346,346,424,524,524,524,524,524,524,524,600,600,600,600,600,600,600,654,654,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,719,738,760,760,760,760,760,784,784,784,784,805,805,805,805,805,805,832,832,860,860,860,860,860,860,860,860,860,860,860,899,939,939,939,939,939,939,939,939,939,939,939,972,972,972,972
CN,河南省,其他,https://img.ixintu.com/upload/jpg/20210525/2f3da851cb179be8cc46f652520ddefa_28427_580_435.jpg!con,中南地区,CN-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,5,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,14,44,83,122,171,210,229,272,305,305,305,305,331,331,331,331,424,424,424,424,424,424,424,424,524,524,524,524,524,524,524,524,524,524,524,596,596,596,596,596,596,681,681,681,681,681,737,737,737,737,737,737,737,737,737,737,737,771,804,804,804,804,804,804,804,804,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,834,872,872,872,872,872,872,918,918,918,918,918,918
CN,云南省,其他,https://img.ixintu.com/upload/jpg/20210525/f8791db9d68388f517910ec33e3f2dc6_46508_580_435.jpg!con,西南地区,CN-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,9,10,10,10,10,10,10,10,10,13,13,13,13,16,16,19,22,22,22,25,92,192,262,345,401,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,517,543,543,543,543,543,572,572,572,600,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,675,675,675,675,675,675,675,675
CN,河北省,其他,https://img.ixintu.com/download/jpg/201912/3abd91aa852aefeee9c00509e6901b15.jpg!con,华北地区,CN-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,9,9,9,9,9,10,10,13,14,15,17,17,17,52,88,119,137,161,181,234,254,254,254,254,254,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,431,431,431,431,431,431,431,476,476,476,476,576,576,667,667,667,667,667,667,667,667,667,667,667
CN,江西省,其他,https://img.ixintu.com/download/jpg/201912/7c8e69929c126962dd775023909d19c3.jpg!con,华东地区,CN-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,5,5,6,6,7,8,8,8,9,9,9,9,9,9,9,9,10,10,12,12,12,12,12,12,12,12,13,13,13,13,14,14,14,14,35,63,89,118,132,160,178,202,225,225,257,257,257,257,257,257,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,438,438,438,438,438,438,438,438,438,438,438,438,438,462,489,489,489,489,489,489,513,539,539,539,566,566,566,566,600,600,600,600,600,600,600,600,600,600,600,600,600,638,638,638,638,638,638
CN,黑龙江省,其他,https://img.ixintu.com/download/jpg/202001/a3b5150b862670528b072147d769646d.jpg!con,东北地区,CN-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,7,8,8,8,9,11,13,14,17,17,21,21,26,26,26,26,26,26,30,30,30,30,34,34,34,34,115,192,277,377,451,468,468,492,492,492,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,556,556,556,556,556,556,570,570,591,591,591,591,591,615,615,615,615,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635
CN,广西壮族自治区,其他,https://img.ixintu.com/upload/jpg/20210524/f353654f1ace09b49b7867968d59be96_44346_580_435.jpg!con,中南地区,CN-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,6,6,7,8,9,9,9,9,11,11,11,13,14,14,15,16,16,18,18,18,20,21,21,22,23,23,24,25,25,26,27,27,28,28,29,31,32,33,33,34,35,35,35,35,35,35,36,37,38,38,38,41,42,42,43,43,74,117,159,197,225,256,256,278,302,302,302,302,302,302,302,302,402,402,402,402,487,487,487,487,487,487,487,487,487,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,524,524,524,524,524,524,524,524,524,524,524,533,533,549,549,549,549,549,549,549,549,549,549,549,549,565,565,565,565,565,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,623,623,623,623,623,623,623
CN,湖南省,其他,https://img.ixintu.com/upload/jpg/20210524/a5962e11d9f519081eaee8010015e28b_40055_580_435.jpg!con,中南地区,CN-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,31,46,59,68,75,78,83,83,89,89,89,89,113,113,135,186,231,254,275,294,331,431,451,464,481,491,491,503,503,503,503,503,503,527,536,536,536,536,536,536,543,543,543,543,543,543,543,543,543,543,549,549,549,554,560,565,565,565,565,565,565,565,565,565,574,574,574,574,579,579,579,579,579,585,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,598,598,605,605,605,605,605,605
CN,安徽省,其他,https://img.ixintu.com/download/jpg/201912/f20373288bc09e286fdc7b57283681e5.jpg!con,华东地区,CN-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,5,6,6,6,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,11,13,14,14,14,14,15,15,16,18,18,18,18,47,80,104,135,148,153,153,190,233,244,244,257,285,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,401,401,401,418,418,441,441,441,441,441,441,441,454,454,454,454,454,463,493,493,504,515,526,526,535,535,552,552,552,552,552,552,552,561,561,561,579,579,579,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597
CN,重庆市,其他,https://img.ixintu.com/download/jpg/201912/5e5ccfd3f38b999cf6ce730bff9b608d.jpg!con,西南地区,CN-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,12,12,13,13,14,14,14,14,14,14,14,14,65,105,138,156,180,206,238,238,238,265,265,265,265,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,408,408,408,408,408,408,408,408,408,408,408,408,408,408,472,472,472,472,472,472,472,472,472,472,472,492,492,492,511,511,511,511,511,511,511,511,511,511,511,511,511,535,535,535,535,535,535,535,535,535,535,535,535,535,535,548,548,548,548,548,548,548,548,548,548
