alpha_2,region,,flag,大洲:,origin name,Let's Go,,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01
LU,卢森堡,其他,https://www.fluentpython.com/data/flags/lu/lu.gif,欧洲,LU,0,0,0,0,20,16,14,27,14,0,24,24,24,34,18,29,17,10,15,0,22,16,27,45,33,14,23,6,10,18,11,34,17,27,11,9,14,35,32,13,18,21,4,7,27,26,27,9,18,31,20,12,21,25,6,11,22,16,16,14,18,13,14,15,15,10,9,9,11,17,17,17,33,2,19,25,8,16,26,11,17,36,29,16,17,18,8,12,9,13,9,8,8,19,6,10,10,13,11,8,9,9,13,16,6,14,16,7,13,9,7,8,11,13,4,9,9,9,8,20,12,14,15,21,13,8,9,14,12,9,17,15,13,11,13,8,12,14,8,6,12,10,15,8,6,9,11,12,11,13,11,13,8,22,17,16,14,18,8,3,17,13,15,14,8,9,11,11,13,8,10,9,10,15,20,13,11,15,11,11,14,19,12,10,12,12,10,12,10,19,16,22,16,20,14,10,8,9,8,7,5,5,11,16,22,15,6,9,9,12,10,7,18,14,21,10,22,10,10,100,83,45
MX,墨西哥,其他,https://www.fluentpython.com/data/flags/mx/mx.gif,北美,MX,0,0,5,9,17,15,19,20,9,0,0,6,10,0,9,11,5,5,7,7,8,11,7,12,16,18,7,14,3,6,6,11,4,6,10,6,9,11,7,7,3,8,5,3,2,3,6,4,2,5,5,3,2,4,4,5,6,6,7,4,6,5,5,4,4,4,5,5,6,5,9,10,8,8,6,7,4,4,9,8,6,9,6,6,5,5,6,5,7,3,4,6,7,8,8,6,5,8,10,8,6,5,5,11,15,12,8,6,8,8,6,5,7,6,5,5,6,5,6,5,7,11,9,19,11,9,7,7,8,7,10,11,6,8,6,6,6,7,4,6,5,4,10,6,10,10,11,13,12,7,7,9,7,5,7,8,7,9,7,7,8,7,6,8,6,7,6,6,8,8,9,9,11,18,75,9,7,12,11,9,10,13,11,11,14,15,14,16,21,16,15,12,12,17,17,19,13,12,11,11,12,15,18,19,30,20,17,14,17,12,11,12,12,12,19,24,28,21,18,100,54,45
DZ,阿尔及利亚,其他,https://www.fluentpython.com/data/flags/dz/dz.gif,非洲,DZ,0,0,0,0,43,0,0,0,0,40,35,0,0,0,0,0,0,23,0,0,0,0,24,20,0,15,0,0,0,0,0,0,11,12,11,9,8,7,6,6,0,5,8,0,9,0,17,24,0,0,0,0,5,8,6,3,6,6,7,8,16,0,12,8,7,11,9,5,7,10,11,18,2,5,0,5,8,5,5,8,14,8,16,20,10,12,6,1,6,4,4,3,3,7,7,8,8,6,4,4,3,5,3,8,5,5,9,5,4,6,4,7,4,6,4,5,5,5,6,5,3,6,7,14,7,5,8,3,4,6,5,4,4,5,4,6,8,5,6,6,5,7,8,7,10,7,5,9,7,5,6,6,9,8,11,6,6,7,7,7,7,6,5,6,8,8,11,9,6,7,7,6,6,9,36,7,10,10,19,16,19,16,10,15,18,16,20,15,16,15,19,23,21,19,19,17,15,19,20,27,24,25,23,28,100,31,14,20,22,23,20,17,16,22,29,52,57,31,25,35,45,44
AW,阿鲁巴,其他,,北美,AW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,51,0,0,0,0,0,0,0,43,0,0,0,0,0,0,40,0,0,0,0,0,0,0,73,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,19,0,0,18,18,0,0,18,0,0,0,16,0,0,0,0,0,0,0,0,31,0,15,0,0,0,16,0,0,0,17,16,15,17,29,0,30,0,0,0,0,30,14,14,13,0,0,27,38,0,0,26,0,0,0,0,26,28,26,0,0,12,12,0,12,0,12,0,0,12,0,0,13,27,0,13,15,0,82,0,31,0,0,47,30,0,0,0,0,17,100,15,60,65,28,44
EE,爱沙尼亚,其他,https://www.fluentpython.com/data/flags/ee/ee.gif,欧洲,EE,0,0,0,0,23,13,22,6,13,6,10,24,15,4,15,13,10,21,32,9,14,19,17,13,9,3,19,12,10,14,8,6,9,16,10,12,6,8,25,7,5,8,8,20,15,14,25,17,11,10,14,10,9,8,16,11,12,10,14,9,10,15,8,9,12,10,10,13,15,10,17,7,12,11,7,15,10,13,16,11,17,17,9,11,9,8,12,12,13,15,14,12,14,12,13,16,13,13,13,11,17,20,14,24,20,18,16,16,19,14,14,13,19,17,14,16,15,17,12,13,17,20,29,49,32,18,23,18,18,23,20,11,15,17,14,14,15,15,15,21,14,20,17,14,17,15,14,18,13,17,24,20,19,21,15,17,17,14,15,21,24,22,28,29,25,26,23,22,22,27,17,21,20,21,29,30,35,29,29,28,35,30,26,30,36,27,28,40,45,44,33,36,34,32,28,29,25,18,20,22,19,16,15,19,16,20,17,17,17,16,20,23,20,26,24,23,23,25,23,100,72,43
JP,日本,其他,https://www.fluentpython.com/data/flags/jp/jp.gif,亚洲,JP,0,0,3,3,5,3,4,4,1,3,1,2,7,5,5,7,5,6,4,9,6,7,7,11,7,7,14,7,15,9,15,13,9,13,15,10,19,13,6,2,2,3,2,2,2,3,4,2,3,4,2,3,4,2,2,3,4,3,4,3,3,3,3,3,2,3,3,5,3,5,5,5,12,11,10,15,17,20,25,24,16,12,13,15,12,14,3,3,4,2,2,2,2,4,2,3,3,2,2,2,2,2,3,3,3,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,1,1,2,1,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,4,4,4,4,6,5,5,5,5,4,3,4,6,4,4,4,4,6,4,4,6,4,4,4,6,3,2,2,4,4,5,5,5,5,5,6,6,7,4,4,3,3,3,3,3,3,7,7,7,4,3,7,5,5,6,5,6,6,7,7,7,8,100,92,43
CH,瑞士,其他,https://www.fluentpython.com/data/flags/ch/ch.gif,欧洲,CH,0,0,6,9,11,11,19,11,18,12,10,14,21,13,10,16,16,7,20,19,28,26,13,10,10,8,12,9,14,10,11,14,13,12,9,14,11,9,9,14,9,10,11,13,9,17,14,11,8,9,11,9,10,13,15,13,15,13,16,13,13,14,10,10,14,15,12,13,13,13,16,19,15,21,15,18,20,23,23,18,15,18,15,16,17,17,12,14,14,15,11,10,13,13,13,15,15,14,16,13,14,15,15,25,13,15,13,12,12,13,11,12,12,9,11,11,14,14,12,15,14,16,15,27,16,13,12,11,12,12,10,9,10,10,10,14,13,11,10,11,11,11,11,12,12,11,11,13,12,11,13,12,14,12,12,14,13,14,13,12,12,15,15,11,15,16,14,14,12,11,12,15,13,16,22,11,14,13,13,13,13,11,10,10,13,14,13,13,15,14,14,15,11,13,12,12,10,7,8,9,9,9,8,12,11,11,8,9,8,8,9,9,10,12,13,13,15,11,9,93,100,43
CY,塞浦路斯,其他,https://www.fluentpython.com/data/flags/cy/cy.gif,亚洲,CY,0,0,0,0,93,35,10,15,26,20,14,15,15,12,27,31,18,16,14,24,21,4,22,13,20,13,18,56,33,63,43,48,22,21,0,20,39,32,44,38,22,24,38,47,13,25,18,16,24,25,31,9,30,22,12,35,16,16,30,32,15,15,17,38,12,29,9,41,15,15,40,25,23,14,18,49,15,13,27,14,35,42,34,14,27,19,23,22,23,18,22,30,22,28,23,23,21,23,25,25,30,21,31,29,44,33,37,41,33,33,22,21,29,21,19,19,25,34,32,28,24,22,22,49,25,19,28,29,28,45,30,35,25,29,29,33,33,30,72,30,47,37,48,34,35,39,36,30,35,30,41,42,48,55,56,42,42,61,31,34,31,33,42,43,43,41,42,41,37,31,34,59,46,49,60,48,63,57,52,54,37,46,42,54,41,40,49,66,60,57,54,58,56,48,45,50,30,21,18,26,26,19,28,22,31,22,13,30,26,29,39,46,51,62,48,57,43,37,35,100,76,42
IL,以色列,其他,https://www.fluentpython.com/data/flags/il/il.gif,亚洲,IL,0,0,24,17,27,38,48,29,32,35,33,29,32,13,11,20,23,36,30,26,24,20,27,23,24,15,20,25,25,22,33,25,20,18,22,25,19,13,21,17,18,22,19,21,28,23,28,24,24,24,25,22,22,17,22,21,20,24,28,20,19,19,26,20,21,20,22,25,21,27,28,30,31,34,40,26,31,25,24,20,24,29,31,46,48,45,24,28,33,32,30,30,33,34,38,34,25,30,24,26,29,32,33,33,33,34,37,29,28,24,22,25,35,29,26,27,28,31,34,28,29,36,38,57,40,31,29,27,27,28,33,34,26,32,29,37,37,37,35,33,33,41,73,46,39,43,41,44,44,52,53,45,55,55,58,59,48,52,51,59,56,59,69,65,72,66,76,83,65,66,61,64,78,80,99,68,77,88,91,78,66,71,65,56,62,68,70,74,79,84,77,75,66,57,54,51,34,30,32,33,31,36,35,44,58,36,31,32,43,41,30,40,46,41,66,61,62,44,41,100,70,41
CI,科特迪瓦,其他,https://www.fluentpython.com/data/flags/ci/ci.gif,非洲,CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,31,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,18,0,0,0,0,17,0,0,0,15,0,0,14,0,0,42,15,0,16,0,0,0,0,0,12,12,0,13,0,9,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,5,5,3,3,9,0,3,0,0,5,0,0,9,0,0,0,8,0,5,0,1,7,5,4,1,5,3,4,0,0,3,1,1,4,5,9,5,0,1,2,1,8,1,1,1,3,3,3,2,1,2,3,5,3,2,2,4,1,0,2,2,4,6,2,9,5,2,3,2,5,6,5,19,2,2,3,5,5,8,5,3,3,18,11,9,6,12,4,4,8,9,3,11,3,6,6,6,8,7,7,10,36,100,35,2,8,19,15,8,4,8,14,15,56,64,13,4,26,59,40
RU,俄罗斯,其他,https://www.fluentpython.com/data/flags/ru/ru.gif,欧洲,RU,0,0,56,39,33,76,86,56,66,41,49,48,86,58,42,54,52,72,42,64,62,73,77,72,52,54,62,72,61,61,69,83,66,65,68,61,60,50,52,57,52,58,56,57,61,61,59,63,58,58,65,62,63,69,61,76,75,76,57,51,53,49,49,55,56,61,67,58,63,58,56,50,52,58,45,54,49,60,59,54,61,60,51,54,61,59,47,60,70,69,59,54,67,69,65,67,70,58,62,69,68,62,59,61,67,52,48,45,44,43,41,41,44,47,46,43,46,45,40,39,41,53,76,100,70,42,39,37,39,40,35,36,33,35,34,39,34,34,33,36,31,29,28,29,27,27,45,48,48,50,48,31,32,31,35,34,47,55,54,59,59,64,56,47,42,43,47,49,29,25,23,24,25,22,26,24,24,27,26,26,26,24,26,25,28,40,40,41,35,31,28,28,27,25,37,28,25,21,22,22,22,23,25,28,29,25,21,24,23,21,22,21,23,22,25,24,27,22,23,95,71,40
CZ,捷克,其他,https://www.fluentpython.com/data/flags/cz/cz.gif,欧洲,CZ,0,0,14,11,3,6,12,12,20,8,4,0,16,12,11,9,4,8,8,11,11,14,16,1,13,11,9,6,8,8,10,7,11,11,8,12,10,6,7,8,7,10,9,6,7,12,8,8,6,10,7,6,9,8,10,9,9,10,11,10,7,5,6,6,12,10,9,7,11,10,12,9,9,8,7,7,8,9,11,10,13,11,8,11,10,6,6,7,8,7,7,8,7,8,8,9,11,8,10,9,7,7,9,37,57,17,8,9,7,7,6,7,9,8,16,7,7,7,7,7,9,13,17,29,13,9,10,8,10,11,8,10,9,9,10,11,10,10,11,11,10,9,9,9,8,8,16,37,41,43,62,75,57,59,75,62,65,74,54,21,20,39,30,49,45,42,37,39,21,14,11,12,16,13,16,16,18,34,16,19,17,16,15,14,16,16,17,18,20,19,19,21,19,18,15,15,16,10,11,14,13,11,14,15,18,16,11,13,14,16,14,15,15,18,20,20,20,18,16,100,77,39
