alpha_2,region,,flag,大洲:,origin name,Let's Go,,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18
BF,布基纳法索,其他,https://www.fluentpython.com/data/flags/bf/bf.gif,非洲,Burkina Faso,0,0,0,2,2,2,3,3,3,4,4,4,5,6,6,7,7,7,7,8,8,8,8,10,10,10,10,10,10,11,12,13,14,16,17,18,18,18,19,20,26,28,28,29,29,29,29,32,32,34,35,38,39,43,44,46,51,54,63,64,68,71,71,78,81,91,103,108,200,300,385,459,520,586,637,695,749,790,818,847,880,908,925,946,973,994,1011,1027,1027,1027,1027
MD,摩尔多瓦,其他,https://www.fluentpython.com/data/flags/md/md.gif,欧洲,Moldova,0,0,4,8,12,16,21,24,27,32,36,39,42,45,49,53,57,61,65,70,75,79,83,87,91,96,100,104,109,113,117,121,126,130,134,139,144,149,154,159,163,168,173,178,182,186,189,193,198,204,209,214,218,222,226,231,238,244,251,258,265,270,275,282,290,301,316,326,426,491,545,592,638,673,705,740,774,806,835,861,883,904,923,945,967,986,1004,1023,1023,1023,1023
RW,卢旺达,其他,https://www.fluentpython.com/data/flags/rw/rw.gif,非洲,Rwanda,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,9,9,10,10,11,13,14,15,16,16,16,16,17,19,20,20,20,21,22,22,22,25,26,33,35,36,37,41,45,54,56,59,74,153,253,332,411,479,535,613,669,719,758,795,831,865,901,925,946,960,982,999,1023,1023,1023,1023
GQ,赤道几内亚,其他,https://www.fluentpython.com/data/flags/gq/gq.gif,非洲,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,11,11,11,11,15,15,15,15,15,15,15,15,15,15,21,21,21,30,30,30,30,36,41,41,41,46,46,51,51,60,60,60,60,60,60,65,70,79,83,88,103,103,118,128,150,175,238,338,408,487,537,599,653,685,732,763,797,827,882,897,941,956,975,995,1000,1017,1017,1017,1017
TG,多哥,其他,https://www.fluentpython.com/data/flags/tg/tg.gif,非洲,Togo,0,0,0,0,0,2,4,7,7,7,7,7,7,9,12,12,12,12,14,14,14,16,16,18,18,18,18,20,20,24,26,29,29,31,31,41,43,45,48,51,55,57,57,59,61,63,66,68,70,72,72,74,76,78,80,84,90,92,94,96,96,102,102,104,112,116,125,130,220,320,391,466,522,583,645,695,729,752,796,827,857,881,899,918,957,979,996,1017,1017,1017,1017
BD,孟加拉,其他,https://www.fluentpython.com/data/flags/bd/bd.gif,亚洲,Bangladesh,0,0,1,3,4,5,6,7,8,9,10,11,12,12,13,14,15,16,17,18,19,20,20,21,22,23,24,26,27,28,30,31,32,33,35,36,37,39,43,47,49,52,54,56,59,62,64,65,67,69,71,73,75,77,79,82,88,95,99,107,110,114,118,122,129,134,144,151,251,340,429,502,562,621,673,722,767,804,832,860,884,904,925,944,962,978,995,1012,1012,1012,1012
IE,爱尔兰,其他,https://www.fluentpython.com/data/flags/ie/ie.gif,欧洲,Ireland,0,0,0,1,1,2,3,3,4,4,4,4,4,4,5,5,6,6,6,6,6,7,8,9,9,9,9,9,9,10,11,12,13,15,17,19,21,28,34,39,43,46,48,50,52,53,54,55,56,57,59,61,62,63,64,67,76,85,92,99,104,109,114,121,130,138,155,167,267,338,405,465,521,572,616,650,691,723,754,783,810,832,851,870,887,907,924,941,1010,1010,1010
ML,马里,其他,https://www.fluentpython.com/data/flags/ml/ml.gif,非洲,Mali,0,0,0,0,1,3,3,3,4,5,6,6,6,6,7,8,9,9,10,10,10,10,11,12,13,14,14,14,15,15,16,16,16,16,22,23,23,27,31,36,38,40,47,51,53,55,57,58,59,60,61,62,70,71,72,72,74,79,86,90,91,94,96,106,111,124,132,136,222,322,392,472,539,585,657,713,757,786,818,843,866,888,908,926,950,966,981,1002,1002,1002,1002
ES,西班牙,其他,https://www.fluentpython.com/data/flags/es/es.gif,欧洲,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11,17,21,25,31,37,43,48,51,54,57,59,61,63,64,65,66,67,68,69,70,71,74,80,84,89,94,98,104,109,114,119,124,132,138,238,315,383,441,494,541,586,628,672,710,744,775,799,820,840,859,878,898,915,930,1002,1002,1002
LR,利比里亚,其他,https://www.fluentpython.com/data/flags/lr/lr.gif,非洲,Liberia,0,0,0,0,0,2,2,2,2,2,2,2,3,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,8,8,8,8,9,11,11,11,13,14,14,15,15,19,19,24,24,24,24,25,27,27,27,27,27,28,31,32,35,38,38,38,39,39,44,45,48,51,57,113,213,306,374,436,498,555,600,649,700,737,771,808,840,867,898,922,951,973,995,995,995,995
GB,英国,其他,https://www.fluentpython.com/data/flags/gb/gb.gif,欧洲,United Kingdom,0,0,0,1,1,2,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,8,9,10,11,12,14,17,19,21,25,29,33,36,39,41,43,44,46,48,49,50,51,52,53,54,55,57,61,68,74,81,87,91,95,99,105,112,120,139,150,250,328,396,461,515,565,608,648,685,717,749,777,802,826,847,869,889,912,935,954,991,991,991
EE,爱沙尼亚,其他,https://www.fluentpython.com/data/flags/ee/ee.gif,欧洲,Estonia,0,0,2,3,6,8,11,13,16,19,22,25,26,29,31,34,36,38,39,41,42,45,47,49,51,52,54,56,58,60,62,65,68,71,73,77,80,83,87,90,94,97,100,102,105,107,109,111,114,117,120,122,124,125,128,130,135,140,146,153,158,164,170,181,191,203,220,233,333,409,482,549,597,642,677,708,742,774,802,825,846,866,883,904,928,950,971,989,989,989,989
GN,几内亚,其他,https://www.fluentpython.com/data/flags/gn/gn.gif,非洲,Guinea,0,0,0,0,1,1,1,1,1,1,2,3,4,6,9,9,10,11,12,12,13,13,13,13,13,14,14,15,16,17,17,17,18,19,20,20,21,22,23,29,29,29,29,32,35,35,35,38,38,39,40,40,40,41,42,45,45,48,54,57,60,60,60,65,66,69,75,78,149,249,328,406,462,531,594,640,683,715,753,791,821,838,862,876,903,934,958,988,988,988,988
MG,马达加斯加,其他,https://www.fluentpython.com/data/flags/mg/mg.gif,非洲,Madagascar,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,7,7,7,7,9,10,10,10,10,10,10,15,16,17,18,18,22,22,24,24,25,25,28,29,29,29,33,34,35,39,39,39,39,40,46,57,59,63,68,75,76,87,91,186,286,373,439,516,560,607,661,698,742,779,811,839,867,883,901,910,944,965,988,988,988,988
PL,波兰,其他,https://www.fluentpython.com/data/flags/pl/pl.gif,欧洲,Poland,0,0,1,2,3,4,6,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,36,38,40,42,44,47,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,85,90,96,101,107,113,118,122,127,133,141,154,163,263,340,417,485,541,590,631,666,704,736,769,796,819,840,859,879,897,917,935,951,981,981,981
MW,马拉维,其他,https://www.fluentpython.com/data/flags/mw/mw.gif,非洲,Malawi,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,9,11,11,12,13,13,13,13,13,17,17,18,18,18,18,19,22,23,23,23,24,25,31,33,33,38,39,48,49,50,51,62,153,253,338,405,478,550,609,659,701,740,764,793,814,842,863,892,910,931,949,972,972,972,972
CD,刚果-金沙萨,其他,https://www.fluentpython.com/data/flags/cd/cd.gif,非洲,Congo - Kinshasa,0,0,0,1,2,2,3,5,5,5,5,5,6,6,6,7,8,8,9,9,10,10,11,11,11,11,11,12,13,14,14,14,15,17,18,18,19,20,21,22,23,23,24,26,28,29,30,30,30,31,32,32,34,34,35,37,39,41,42,45,47,49,51,53,57,60,66,70,141,241,312,363,431,506,573,638,685,724,752,789,814,840,863,885,904,926,946,968,968,968,968
KG,吉尔吉斯坦,其他,https://www.fluentpython.com/data/flags/kg/kg.gif,亚洲,Kyrgyzstan,0,0,2,6,7,9,10,11,12,14,15,16,18,19,19,20,23,25,28,30,33,35,36,38,40,43,45,47,49,50,52,55,56,58,59,61,63,66,70,75,79,80,83,87,89,93,96,99,102,104,106,110,113,116,119,124,129,136,144,153,158,163,169,178,188,201,222,233,333,417,484,548,603,640,678,712,742,769,791,813,834,853,877,895,916,933,950,966,966,966,966
IT,意大利,其他,https://www.fluentpython.com/data/flags/it/it.gif,欧洲,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,9,12,15,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,35,44,54,62,69,74,79,85,92,102,114,132,143,243,314,379,441,502,548,591,631,670,702,732,761,788,811,833,854,874,895,914,931,964,964,964
LT,立陶宛,其他,https://www.fluentpython.com/data/flags/lt/lt.gif,欧洲,Lithuania,0,0,2,3,5,6,8,10,12,13,14,16,18,20,21,22,23,25,26,27,28,29,30,31,32,33,34,36,38,40,42,44,46,48,50,52,55,58,61,64,67,70,72,74,76,78,80,82,84,86,89,91,92,93,95,98,102,106,111,116,121,125,129,135,142,151,165,175,275,357,439,509,562,607,646,680,717,752,782,804,824,845,863,884,906,927,944,960,960,960,960
ZA,南非,其他,https://www.fluentpython.com/data/flags/za/za.gif,非洲,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,5,6,7,9,12,14,16,17,18,20,21,22,23,24,25,26,27,28,29,31,32,34,38,43,48,53,56,60,64,70,77,83,96,105,205,299,369,434,491,542,584,620,652,679,709,734,756,779,799,816,833,850,868,882,956,956,956
SD,苏丹,其他,https://www.fluentpython.com/data/flags/sd/sd.gif,非洲,Sudan,0,0,1,5,6,8,9,12,14,16,17,18,19,20,21,22,24,26,28,28,30,31,32,32,34,36,37,40,40,40,40,41,41,42,43,45,46,47,48,49,51,54,54,57,59,61,61,62,66,67,70,73,74,76,78,84,89,100,108,114,122,127,130,135,139,146,158,162,262,358,433,497,541,594,639,666,705,741,766,793,813,831,848,868,898,916,936,954,954,954,954
FR,法国,其他,https://www.fluentpython.com/data/flags/fr/fr.gif,欧洲,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,5,6,7,9,11,13,15,17,18,19,20,21,22,23,24,25,26,28,30,31,32,34,40,45,50,54,57,60,66,74,83,93,106,115,215,293,362,427,483,535,582,622,663,700,735,766,795,819,840,860,879,899,916,931,953,953,953
BI,布隆迪,其他,https://www.fluentpython.com/data/flags/bi/bi.gif,非洲,Burundi,0,0,0,0,0,0,0,0,4,4,4,4,7,7,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,15,18,18,18,18,18,18,21,24,24,24,27,27,27,27,27,30,30,33,33,36,36,36,36,36,36,36,39,39,45,48,51,60,68,74,119,219,299,370,428,485,532,595,646,707,744,771,793,826,840,868,883,899,931,952,952,952,952
CZ,捷克,其他,https://www.fluentpython.com/data/flags/cz/cz.gif,欧洲,Czechia,0,0,2,4,6,9,12,14,16,17,18,19,20,22,24,26,27,28,29,30,31,32,33,34,35,36,37,39,40,42,43,45,47,49,51,54,57,60,64,68,72,75,78,80,82,84,86,88,90,92,95,97,99,101,103,106,111,118,124,129,134,138,142,148,156,165,183,195,295,368,437,502,556,609,653,688,721,752,781,804,825,844,863,880,899,917,931,948,948,948,948
PT,葡萄牙,其他,https://www.fluentpython.com/data/flags/pt/pt.gif,欧洲,Portugal,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,5,6,7,8,9,10,12,14,16,18,20,22,23,24,25,26,27,29,30,31,32,34,35,36,39,45,52,58,64,69,74,80,87,95,106,120,131,231,304,376,440,497,551,593,630,668,698,727,753,774,794,813,832,849,868,883,897,944,944,944
GM,冈比亚,其他,https://www.fluentpython.com/data/flags/gm/gm.gif,非洲,Gambia,0,0,0,0,0,0,0,5,9,9,13,13,13,13,13,13,17,22,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,32,32,36,36,43,50,50,54,54,54,54,54,54,54,58,58,58,58,58,66,66,70,70,74,74,78,82,86,90,90,94,94,102,102,113,191,255,330,407,507,576,625,657,689,718,749,773,788,808,838,862,888,913,925,942,942,942,942
LV,拉脱维亚,其他,https://www.fluentpython.com/data/flags/lv/lv.gif,欧洲,Latvia,0,0,2,3,5,7,9,11,13,14,16,17,18,19,21,23,24,26,27,30,31,33,35,37,38,40,41,43,46,48,50,52,55,58,60,63,65,70,73,77,80,82,85,88,91,93,95,97,99,101,103,105,107,108,110,112,118,124,130,135,141,146,152,159,164,174,188,198,298,367,432,491,538,579,618,654,691,722,754,779,802,823,843,862,884,903,921,938,938,938,938
NO,挪威,其他,https://www.fluentpython.com/data/flags/no/no.gif,欧洲,Norway,0,0,0,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,15,16,17,19,20,22,23,24,27,30,31,33,36,39,41,43,46,48,51,53,55,57,60,62,64,66,67,69,70,72,73,75,77,78,79,80,87,93,99,104,110,114,119,125,134,142,153,173,189,289,357,418,472,521,563,599,629,658,680,705,731,751,769,786,802,816,831,844,859,937,937,937
KH,柬埔塞,其他,https://www.fluentpython.com/data/flags/kh/kh.gif,亚洲,Cambodia,0,0,0,2,3,5,7,8,9,11,13,15,15,15,15,15,15,18,19,21,23,23,24,26,27,30,31,32,33,33,34,37,39,42,44,46,47,48,51,54,58,60,62,63,64,66,67,69,70,71,73,75,80,84,84,87,93,97,99,105,107,110,115,119,123,129,139,147,235,335,418,490,553,602,645,671,699,720,743,764,792,820,840,869,890,905,921,936,936,936,936
CA,加拿大,其他,https://www.fluentpython.com/data/flags/ca/ca.gif,北美,Canada,0,0,0,0,0,1,2,3,4,5,5,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,30,33,36,39,43,48,51,54,56,58,60,62,64,66,67,68,69,71,72,73,74,75,78,83,88,93,98,102,106,110,116,122,130,143,155,255,340,412,476,531,580,623,657,693,724,753,779,802,822,840,856,871,886,901,915,936,936,936
BJ,贝宁,其他,https://www.fluentpython.com/data/flags/bj/bj.gif,非洲,Benin,0,0,0,0,0,0,2,2,4,4,4,7,8,10,12,14,14,14,15,17,17,18,18,22,22,22,22,22,23,24,26,28,29,32,33,36,37,39,42,47,47,48,48,48,51,55,55,56,59,62,63,66,67,68,72,73,77,77,78,80,84,85,85,91,97,101,110,119,209,309,376,426,502,553,626,668,704,735,760,793,816,829,848,872,888,904,926,935,935,935,935
KZ,哈萨克斯坦,其他,https://www.fluentpython.com/data/flags/kz/kz.gif,亚洲,Kazakhstan,0,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,34,36,39,40,42,44,46,48,50,52,54,56,58,60,61,63,65,68,71,73,76,79,82,85,89,96,101,103,105,109,112,115,118,120,122,124,126,131,136,141,147,153,156,161,170,177,187,203,214,314,386,451,511,569,608,646,678,705,731,759,784,806,824,841,861,882,900,915,928,928,928,928
NZ,新西兰,其他,https://www.fluentpython.com/data/flags/nz/nz.gif,澳洲,New Zealand,0,0,0,0,0,1,2,2,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,7,8,9,10,10,11,12,13,15,16,18,20,23,27,31,34,37,39,41,42,43,45,47,48,49,51,52,53,54,55,57,66,71,76,83,87,93,100,108,117,126,141,152,252,341,414,476,527,571,606,638,670,701,728,751,773,791,809,829,849,869,885,902,924,924,924
RU,俄罗斯,其他,https://www.fluentpython.com/data/flags/ru/ru.gif,欧洲,Russia,0,0,1,2,4,5,7,9,10,12,14,16,17,19,21,23,25,26,28,30,32,34,36,37,38,39,40,42,43,45,47,49,51,53,55,57,59,62,65,67,69,71,73,75,77,79,81,83,86,88,91,93,95,97,99,102,106,110,115,121,126,129,135,145,153,170,188,199,299,367,428,490,553,596,634,670,700,727,749,771,787,804,820,837,852,866,879,893,921,921,921
NA,纳米比亚,其他,https://www.fluentpython.com/data/flags/na/na.gif,非洲,Namibia,0,0,0,1,1,1,1,1,2,2,3,3,3,3,3,3,5,6,6,6,6,6,6,7,7,8,8,9,10,10,10,12,14,15,16,16,17,20,22,25,27,27,28,31,32,33,33,33,34,34,37,39,40,41,43,44,53,57,60,66,69,72,73,78,82,87,96,104,192,292,365,439,492,547,583,621,651,692,722,753,781,803,829,845,858,879,904,920,920,920,920
JP,日本,其他,https://www.fluentpython.com/data/flags/jp/jp.gif,亚洲,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,8,12,15,18,20,22,24,26,27,29,31,32,33,35,38,40,42,43,48,55,61,68,75,80,85,90,98,105,113,125,138,238,324,384,438,496,542,586,624,661,686,708,734,758,780,801,820,838,856,874,892,916,916,916
CH,瑞士,其他,https://www.fluentpython.com/data/flags/ch/ch.gif,欧洲,Switzerland,0,0,0,0,1,2,2,3,3,3,3,3,3,4,4,4,5,5,5,6,6,6,6,7,8,8,9,10,11,12,13,14,15,16,17,19,21,24,27,29,31,33,34,35,36,37,38,39,40,42,44,46,47,49,50,53,59,65,72,77,81,85,90,98,109,119,136,148,248,311,372,430,482,527,572,610,647,684,718,746,770,795,817,837,857,879,897,914,914,914,914
AT,奥地利,其他,https://www.fluentpython.com/data/flags/at/at.gif,欧洲,Austria,0,0,1,2,2,3,3,3,4,5,6,6,7,8,8,8,8,9,10,10,10,11,11,12,13,13,14,15,16,17,18,20,22,24,25,27,29,32,35,37,39,41,42,44,45,46,47,48,49,50,51,52,53,54,55,59,65,72,78,83,86,90,95,106,119,131,151,165,265,332,392,453,502,548,588,621,657,690,720,746,770,793,814,834,855,876,895,913,913,913,913
SL,塞拉利昂,其他,https://www.fluentpython.com/data/flags/sl/sl.gif,非洲,Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,6,7,7,7,8,10,10,10,10,11,11,12,12,12,15,17,20,20,20,20,20,22,22,22,23,24,25,25,28,28,31,38,39,45,48,49,50,52,53,61,108,208,262,327,401,462,518,568,609,648,678,711,730,774,792,823,841,874,892,913,913,913,913
