alpha_2,region,,flag,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06
VN,越南,越南,https://www.fluentpython.com/data/flags/vn/vn.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,38,38,38,81,181,262,303,354,365,387,418,467,477,517,556,556,577,577,596,596,596,596,606,606,606,606,606,606,606,616,616
NO,挪威,挪威,https://www.fluentpython.com/data/flags/no/no.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,13,13,13,13,13,13,19,19,19,25,25,25,25,31,31,31,31,31,31,31,31,31,31,31,37,37,44,50,50,56,74,141,155,155,173,273,362,368,418,425,446,467,496,496,502,553,560,581,594,594,594,606,606,606,606,606,606,606,606,612,612,612
AR,阿根廷,其他,https://www.fluentpython.com/data/flags/ar/ar.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,55,155,182,234,261,288,313,313,313,313,339,364,364,364,426,426,426,476,550,550,550,579,579,579,579,579,602,602,602,602
MX,墨西哥,其他,https://www.fluentpython.com/data/flags/mx/mx.gif,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,13,20,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,31,42,47,47,54,62,82,182,215,259,287,308,337,343,343,354,359,439,480,531,537,548,553,553,553,560,560,571,577,577,587,593,601,601
SG,新加坡,其他,https://www.fluentpython.com/data/flags/sg/sg.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,5,6,6,6,7,8,9,12,14,14,15,16,16,17,17,18,22,23,24,25,32,40,58,74,101,201,265,312,341,362,392,418,443,460,477,513,533,553,568,575,583,586,587,590,592,594,594,596,598,599,600,600
SH,圣赫勒拿,其他,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Saint_Helena.svg/250px-Flag_of_Saint_Helena.svg.png,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,71,71,71,71,166,166,266,299,331,331,385,437,437,437,437,506,506,558,558,558,558,558,558,558,558,558,558,587,587,587,587,587,587
PT,葡萄牙,其他,https://www.fluentpython.com/data/flags/pt/pt.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,32,32,32,46,142,242,298,341,358,374,388,388,388,402,459,531,566,566,566,566,566,566,583,583,583,583,583,583,583,583,583
ID,印度尼西亚,其他,https://www.fluentpython.com/data/flags/id/id.gif,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,23,23,23,23,23,23,35,60,66,94,194,233,255,290,315,379,422,427,427,427,473,486,505,516,538,555,561,566,572,572,578,578,578,578,578,578,578
PL,波兰,其他,https://www.fluentpython.com/data/flags/pl/pl.gif,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,13,19,37,44,65,76,176,213,237,246,258,272,293,322,325,342,423,464,509,538,565,565,568,568,572,572,572,572,572,572,572,572,572
BN,文莱,其他,https://www.fluentpython.com/data/flags/bn/bn.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,138,186,231,279,279,323,323,369,369,416,516,516,516,516,561,561,561,561,561,561,561,561,561,561,561
CI,科特迪瓦,其他,https://www.fluentpython.com/data/flags/ci/ci.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,184,184,184,184,184,284,375,469,469,469,469,469,469,469,469,469,469,469,469,561,561,561,561,561,561,561
NP,尼泊尔,其他,https://www.fluentpython.com/data/flags/np/np.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,191,191,191,191,279,279,279,279,279,279,279,373,458,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557
MM,缅甸,其他,https://www.fluentpython.com/data/flags/mm/mm.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,144,242,242,242,242,292,292,340,340,340,440,492,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541
CZ,捷克,其他,https://www.fluentpython.com/data/flags/cz/cz.gif,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,45,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,76,100,100,100,110,110,120,120,133,157,167,267,338,338,348,374,386,396,396,406,426,479,492,516,526,536,536,536,536,536,536,536,536,536,536,536,536,536
ZA,南非,其他,https://www.fluentpython.com/data/flags/za/za.gif,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,28,28,28,28,28,28,40,53,53,53,53,53,92,192,242,242,295,340,356,356,417,417,430,484,499,499,499,499,499,499,512,512,512,512,512,536,536,536,536,536
EE,爱沙尼亚,其他,https://www.fluentpython.com/data/flags/ee/ee.gif,0,0,15,15,31,31,31,31,31,31,50,50,50,50,50,50,50,50,50,50,50,50,50,150,150,150,150,150,150,150,150,150,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,222,251,294,309,338,338,355,355,369,397,411,440,516,516,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533
PE,秘鲁,其他,https://www.fluentpython.com/data/flags/pe/pe.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,134,202,202,202,246,281,348,348,381,416,416,460,460,460,460,492,492,532,532,532,532,532,532,532,532,532
AT,奥地利,其他,https://www.fluentpython.com/data/flags/at/at.gif,0,0,0,0,0,0,0,2,2,2,2,2,2,5,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,21,24,24,24,24,24,24,24,24,24,24,27,32,43,43,46,46,46,49,57,63,63,66,71,171,256,281,292,303,306,311,357,376,392,458,472,492,507,512,512,512,515,515,518,518,521,524,527,527,527,527
BG,保加利亚,其他,https://www.fluentpython.com/data/flags/bg/bg.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,130,162,229,229,229,314,354,354,388,422,422,458,458,458,458,491,491,491,526,526,526,526,526,526,526,526,526,526
CH,瑞士,其他,https://www.fluentpython.com/data/flags/ch/ch.gif,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,6,7,7,7,8,8,8,8,9,10,11,12,13,13,13,13,13,13,14,14,14,14,14,14,14,15,19,19,19,21,21,22,42,59,70,80,92,192,223,241,275,298,305,335,383,396,401,463,474,488,495,500,503,505,505,507,510,510,511,511,511,512,514,514
DK,丹麦,其他,https://www.fluentpython.com/data/flags/dk/dk.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,22,40,44,50,139,191,194,210,229,236,252,265,284,316,416,435,470,484,487,496,499,499,503,503,506,506,506,509,509,509,509
FR,法国,其他,https://www.fluentpython.com/data/flags/fr/fr.gif,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,5,5,6,6,6,7,7,9,9,9,9,10,10,10,10,10,11,11,11,11,11,11,11,12,13,14,15,17,17,19,20,21,28,35,42,45,67,167,190,204,216,230,235,244,265,283,296,396,432,473,484,486,489,491,493,493,493,497,497,498,499,499,499,499
ES,西班牙,其他,https://www.fluentpython.com/data/flags/es/es.gif,0,0,0,0,0,0,0,2,2,2,2,2,2,17,19,22,22,22,22,22,22,22,22,22,22,25,25,25,25,25,25,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,38,43,43,43,43,43,43,50,60,72,98,133,218,318,343,354,360,366,375,389,394,404,423,441,459,461,463,465,465,467,467,467,467,469,471,480,485,485,485
SE,瑞典,其他,https://www.fluentpython.com/data/flags/se/se.gif,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,21,23,25,29,29,29,29,29,29,29,29,31,31,31,31,31,31,31,31,31,31,31,31,33,33,33,33,33,35,35,35,35,47,47,53,153,186,199,217,304,330,350,364,373,380,388,398,400,402,441,454,463,473,473,477,477,477,477,477,477,477,479,479,479,479,479
NZ,新西兰,其他,https://www.fluentpython.com/data/flags/nz/nz.gif,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,10,13,13,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,19,19,19,19,19,19,19,22,22,25,34,37,40,53,75,175,229,248,251,267,288,294,316,329,351,411,425,435,451,451,457,457,463,463,466,469,472,472,472,475,475,475
UA,乌克兰,其他,https://www.fluentpython.com/data/flags/ua/ua.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,48,48,48,48,48,145,245,245,297,356,414,414,414,414,414,414,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475
PH,菲律宾,其他,https://www.fluentpython.com/data/flags/ph/ph.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,12,12,16,21,26,53,153,220,246,261,298,312,336,373,391,398,417,426,440,440,444,448,456,456,460,464,464,468,468,468,472,472,472
CO,哥伦比亚,其他,https://www.fluentpython.com/data/flags/co/co.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,116,216,236,257,294,320,320,348,357,367,438,450,450,450,450,450,468,468,468,468,468,468,468,468,468,468,468
CY,塞浦路斯,其他,https://www.fluentpython.com/data/flags/cy/cy.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,184,184,184,275,275,275,275,275,362,362,362,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462
US,美国,其他,https://www.fluentpython.com/data/flags/us/us.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,6,6,6,7,9,13,17,22,27,34,44,76,176,212,232,252,269,284,297,331,342,361,404,421,433,441,445,448,450,451,452,453,454,455,455,456,457,457,457
CN,中国,其他,https://www.fluentpython.com/data/flags/cn/cn.gif,0,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5,5,6,6,8,10,11,11,11,12,12,14,15,16,16,16,17,18,19,20,21,21,22,23,24,26,27,27,28,29,31,34,37,39,42,42,43,49,57,71,93,193,241,264,284,301,318,333,350,366,374,394,410,425,430,433,436,439,441,444,446,449,450,452,453,455,456,456
GU,关岛,其他,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Flag_of_Guam.svg/250px-Flag_of_Guam.svg.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,86,186,186,186,271,271,271,271,271,271,271,358,358,358,358,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456
KH,柬埔塞,其他,https://www.fluentpython.com/data/flags/kh/kh.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54,54,54,154,203,252,252,252,304,304,304,352,352,402,402,402,402,402,450,450,450,450,450,450,450,450,450,450,450,450,450
NL,荷兰,其他,https://www.fluentpython.com/data/flags/nl/nl.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,4,4,5,5,5,6,7,8,8,10,14,29,67,157,196,216,231,235,246,259,279,282,290,390,409,429,437,439,440,441,442,442,443,443,444,444,444,445,445,445
CA,加拿大,其他,https://www.fluentpython.com/data/flags/ca/ca.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,4,4,4,5,5,6,7,8,9,9,9,9,9,9,9,10,11,11,12,13,13,13,14,14,15,16,16,18,19,21,23,30,38,57,157,201,223,247,264,282,298,322,330,346,386,399,411,421,426,430,432,434,436,438,439,440,441,442,443,444,444
IT,意大利,其他,https://www.fluentpython.com/data/flags/it/it.gif,0,1,1,1,2,2,2,2,2,2,2,4,4,4,4,4,6,6,6,6,6,6,6,8,8,8,8,8,12,13,13,13,14,15,25,37,37,37,37,37,37,38,38,39,39,39,40,40,40,41,41,41,42,42,42,43,47,53,60,64,64,91,191,246,257,262,268,274,284,302,310,317,361,382,404,418,423,423,427,429,430,431,432,434,434,435,436,436,436
JP,日本,其他,https://www.fluentpython.com/data/flags/jp/jp.gif,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,5,6,7,8,8,9,9,9,9,10,11,11,11,12,14,15,16,17,17,17,17,17,19,22,31,37,47,61,161,199,218,234,247,259,276,295,301,320,350,367,381,389,394,412,420,424,427,428,429,431,433,434,434,434,434
SA,沙特阿拉伯,其他,https://www.fluentpython.com/data/flags/sa/sa.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,39,39,39,139,139,211,211,247,247,314,314,348,348,348,387,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423
FI,芬兰,其他,https://www.fluentpython.com/data/flags/fi/fi.gif,0,0,0,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,19,19,19,19,19,24,24,24,24,24,24,24,24,24,24,24,24,42,51,51,62,67,81,129,161,183,283,305,326,343,347,347,365,374,390,406,406,406,406,410,410,410,410,410,410,410,410,410,410,410
KE,肯尼亚,其他,https://www.fluentpython.com/data/flags/ke/ke.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,67,67,67,67,67,67,167,232,266,301,301,301,301,301,301,301,301,335,335,370,403,403,403,403,403,403,403,403,403,403,403,403,403
TN,突尼斯,其他,https://www.fluentpython.com/data/flags/tn/tn.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,190,190,290,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388
DE,德国,其他,https://www.fluentpython.com/data/flags/de/de.gif,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,8,20,23,24,24,26,27,30,37,44,48,59,159,207,226,237,243,254,265,284,292,298,336,352,372,380,382,383,384,384,385,386,386,386,386,386,387,387,387
CL,智利,其他,https://www.fluentpython.com/data/flags/cl/cl.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,21,121,144,156,180,222,236,247,258,270,282,330,344,358,358,358,369,369,369,369,369,379,379,379,379,379,379,379
GR,希腊,其他,https://www.fluentpython.com/data/flags/gr/gr.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,57,69,108,149,191,207,222,222,235,248,274,274,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374
AU,澳大利亚,其他,https://www.fluentpython.com/data/flags/au/au.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,13,19,26,33,40,63,163,196,213,225,239,258,274,286,293,306,334,346,355,358,361,363,366,367,368,368,369,369,369,370,370,371,371
BH,巴林,其他,https://www.fluentpython.com/data/flags/bh/bh.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,93,93,93,93,93,93,93,93,93,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,283,283,283,283,283,283,283,283,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
RU,俄罗斯,其他,https://www.fluentpython.com/data/flags/ru/ru.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,15,15,15,15,15,15,15,49,149,162,203,210,226,242,255,268,268,268,316,340,348,348,348,348,354,354,354,362,362,362,362,362,369,369,369
BR,巴西,其他,https://www.fluentpython.com/data/flags/br/br.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,7,10,13,35,135,184,208,211,214,227,234,254,254,259,310,341,344,351,353,362,362,362,365,365,365,365,365,365,365,368,368
